"Study","Condition","Participant","Passed_Comp_Test","Position","Chose_Prioritarian","Repeat","Motiv_To_Change","Motiv_To_Maximize","Motiv_To_Prioritize","Risk","Pol_A","Pol_B","Rater_1_Fairness","Rater_2_Fairness","Fairness_Reasoning"
2,"V",1,FALSE,4,1,1,TRUE,1,0,4,4,6,1,1,1
2,"V",2,TRUE,2,1,0,FALSE,0,0,5,4,4,1,1,1
2,"C",3,TRUE,4,1,0,TRUE,1,0,7,3,5,0,0,0
2,"V",4,FALSE,4,0,1,FALSE,0,0,4,3,5,0,0,0
2,"C",5,TRUE,1,0,0,TRUE,0,1,6,2,3,0,0,0
2,"C",6,TRUE,1,0,0,TRUE,0,1,2,2,4,0,0,0
2,"C",7,TRUE,2,0,1,TRUE,0,1,8,2,2,0,0,0
2,"C",8,TRUE,2,0,1,FALSE,0,0,4,4,6,0,0,0
2,"C",9,TRUE,4,0,1,FALSE,0,0,8,4,5,0,0,0
2,"C",10,TRUE,1,0,1,TRUE,0,1,8,2,3,0,0,0
2,"C",11,TRUE,3,1,1,FALSE,0,0,2,2,4,0,0,0
2,"C",12,TRUE,1,1,1,FALSE,0,0,3,2,5,1,1,1
2,"C",13,TRUE,2,0,1,TRUE,0,1,9,1,1,0,0,0
2,"C",14,TRUE,1,0,0,FALSE,0,0,3,3,5,0,0,0
2,"C",15,TRUE,3,1,0,FALSE,0,0,6,1,5,0,0,0
2,"C",16,FALSE,4,1,1,TRUE,1,0,2,4,5,1,1,1
2,"C",17,TRUE,1,0,1,FALSE,0,0,0,2,4,0,0,0
2,"C",18,TRUE,3,1,1,FALSE,0,0,3,2,3,0,0,0
2,"C",19,TRUE,1,1,1,FALSE,0,0,8,3,5,1,1,1
2,"C",20,TRUE,1,0,1,FALSE,0,0,6,2,3,0,0,0
2,"C",21,TRUE,4,1,1,FALSE,0,0,5,3,5,1,1,1
2,"C",22,TRUE,2,0,1,TRUE,0,1,5,0,0,0,0,0
2,"C",23,TRUE,4,0,1,FALSE,0,0,6,2,3,0,0,0
2,"C",24,TRUE,1,0,0,FALSE,0,0,4,1,2,0,0,0
2,"C",25,TRUE,1,1,1,FALSE,0,0,5,3,5,1,1,1
2,"C",26,TRUE,1,0,0,TRUE,0,1,7,0,0,0,0,0
2,"C",27,TRUE,1,0,0,TRUE,0,1,6,3,4,0,0,0
2,"C",28,TRUE,4,1,0,TRUE,1,0,6,3,5,0,0,0
2,"C",29,TRUE,4,1,1,FALSE,0,0,5,4,6,0,0,0
2,"C",30,TRUE,1,0,1,FALSE,0,0,6,5,8,0,0,0
2,"C",31,TRUE,4,1,0,TRUE,1,0,3,2,4,0,0,0
2,"C",32,TRUE,1,0,1,TRUE,0,1,9,1,3,0,0,0
2,"C",33,TRUE,1,1,1,FALSE,0,0,7,2,4,1,1,1
2,"C",34,TRUE,4,1,1,FALSE,0,0,4,2,3,1,1,1
2,"C",35,TRUE,2,0,0,TRUE,0,1,6,2,4,0,0,0
