"Study","Condition","Participant","Passed_Comp_Test","Position","Chose_Prioritarian","Repeat","Motiv_To_Change","Motiv_To_Maximize","Motiv_To_Prioritize","Risk","Pol_A","Pol_B","Rater_1_Fairness","Rater_2_Fairness","Fairness_Reasoning"
5,"C",1,FALSE,4,1,0,TRUE,1,0,6,5,9,0,0,0
5,"C",2,TRUE,3,1,1,FALSE,0,0,3,4,6,1,1,1
5,"C",3,TRUE,1,1,1,FALSE,0,0,4,4,6,1,1,1
5,"C",4,TRUE,1,0,0,TRUE,0,1,9,4,7,0,0,0
5,"C",5,TRUE,4,1,1,TRUE,1,0,7,2,2,0,0,0
5,"C",6,TRUE,1,0,1,TRUE,0,1,8,1,3,0,0,0
5,"C",7,TRUE,1,1,1,FALSE,0,0,8,3,5,1,1,1
5,"C",8,TRUE,2,1,1,FALSE,0,0,7,5,8,1,1,1
5,"C",9,TRUE,1,1,1,FALSE,0,0,5,2,4,1,0,1
5,"C",10,TRUE,3,1,0,TRUE,1,0,2,3,5,0,0,0
5,"C",11,TRUE,3,0,1,FALSE,0,0,8,4,5,0,0,0
5,"C",12,TRUE,3,1,0,TRUE,1,0,6,1,1,1,1,1
5,"C",13,TRUE,2,0,1,FALSE,0,0,4,1,2,0,0,0
5,"C",14,FALSE,1,0,0,FALSE,0,0,2,1,1,0,0,0
5,"C",15,TRUE,2,0,0,TRUE,0,1,1,1,1,0,0,0
5,"C",16,TRUE,1,1,1,FALSE,0,0,1,0,2,0,0,0
5,"C",17,FALSE,1,1,1,FALSE,0,0,8,3,5,0,0,0
5,"C",18,TRUE,4,1,0,TRUE,1,0,3,2,3,0,0,0
5,"C",19,TRUE,3,1,1,TRUE,1,0,0,3,5,1,1,1
5,"C",20,TRUE,4,1,0,TRUE,1,0,6,3,5,1,1,1
5,"C",21,TRUE,1,0,1,FALSE,0,0,1,0,5,0,1,0
5,"C",22,TRUE,4,0,1,FALSE,0,0,3,0,0,0,0,0
5,"C",23,TRUE,4,1,0,TRUE,1,0,4,1,2,0,0,0
5,"C",24,TRUE,3,1,1,FALSE,0,0,3,2,3,0,0,0
5,"C",25,FALSE,3,1,0,TRUE,1,0,5,3,5,1,1,1
5,"C",26,TRUE,2,0,1,FALSE,0,0,7,1,3,0,0,0
5,"C",27,TRUE,2,0,1,FALSE,0,0,4,1,2,0,0,0
5,"C",28,TRUE,4,1,0,FALSE,0,0,7,2,5,0,0,0
5,"C",29,TRUE,2,1,0,FALSE,0,0,6,0,0,0,0,0
5,"C",30,TRUE,4,0,0,FALSE,0,0,6,4,6,0,0,0
5,"C",31,TRUE,3,1,0,TRUE,1,0,9,4,7,1,1,1
5,"C",32,TRUE,2,0,0,TRUE,0,1,4,1,2,0,0,0
5,"C",33,TRUE,4,1,1,FALSE,0,0,4,2,3,1,1,1
5,"C",34,FALSE,4,1,1,FALSE,0,0,4,0,0,1,1,1
5,"C",35,TRUE,1,0,0,FALSE,0,0,8,2,3,0,0,0
5,"C",36,TRUE,2,0,0,TRUE,0,1,6,1,2,0,0,0
5,"C",37,TRUE,2,0,0,TRUE,0,1,6,2,5,0,1,0
